Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
03 Alicante/Alacant	Número de plazas estimadas	2006M11	46.812
03 Alicante/Alacant	Número de plazas estimadas	2006M10	50.190
03 Alicante/Alacant	Número de plazas estimadas	2006M09	56.448
03 Alicante/Alacant	Número de plazas estimadas	2006M08	61.871
03 Alicante/Alacant	Número de plazas estimadas	2006M07	57.643
03 Alicante/Alacant	Número de plazas estimadas	2006M06	51.236
03 Alicante/Alacant	Número de plazas estimadas	2006M05	48.836
03 Alicante/Alacant	Número de plazas estimadas	2006M04	51.381
03 Alicante/Alacant	Número de plazas estimadas	2006M03	46.290
03 Alicante/Alacant	Número de plazas estimadas	2006M02	42.372
03 Alicante/Alacant	Número de plazas estimadas	2006M01	41.840
03 Alicante/Alacant	Número de plazas estimadas	2005M12	48.140
03 Alicante/Alacant	Número de plazas estimadas	2005M11	43.813
03 Alicante/Alacant	Número de plazas estimadas	2005M10	45.684
03 Alicante/Alacant	Número de plazas estimadas	2005M09	57.050
03 Alicante/Alacant	Número de plazas estimadas	2005M08	59.769
03 Alicante/Alacant	Número de plazas estimadas	2005M07	51.994
03 Alicante/Alacant	Número de plazas estimadas	2005M06	49.299
03 Alicante/Alacant	Número de plazas estimadas	2005M05	46.381
03 Alicante/Alacant	Número de plazas estimadas	2005M04	44.660
03 Alicante/Alacant	Número de plazas estimadas	2005M03	44.635
03 Alicante/Alacant	Número de plazas estimadas	2005M02	45.348
03 Alicante/Alacant	Número de plazas estimadas	2005M01	43.428
04 Almería	Número de plazas estimadas	2024M09	13.123
04 Almería	Número de plazas estimadas	2024M08	13.812
04 Almería	Número de plazas estimadas	2024M07	12.881
04 Almería	Número de plazas estimadas	2024M06	12.933
04 Almería	Número de plazas estimadas	2024M05	12.332
04 Almería	Número de plazas estimadas	2024M04	11.269
04 Almería	Número de plazas estimadas	2024M03	6.930
04 Almería	Número de plazas estimadas	2024M02	6.797
04 Almería	Número de plazas estimadas	2024M01	6.187
04 Almería	Número de plazas estimadas	2023M12	7.201
