Provincias;Sexo;Periodo;Total
17 Girona;Total;1996;530.631
18 Granada;Total;2021;921.338
18 Granada;Total;2020;919.168
18 Granada;Total;2019;914.678
18 Granada;Total;2018;912.075
18 Granada;Total;2017;912.938
18 Granada;Total;2016;915.392
18 Granada;Total;2015;917.297
18 Granada;Total;2014;919.455
18 Granada;Total;2013;919.319
18 Granada;Total;2012;922.928
18 Granada;Total;2011;924.550
18 Granada;Total;2010;918.072
18 Granada;Total;2009;907.428
18 Granada;Total;2008;901.220
18 Granada;Total;2007;884.099
18 Granada;Total;2006;876.184
18 Granada;Total;2005;860.898
18 Granada;Total;2004;841.687
18 Granada;Total;2003;828.107
18 Granada;Total;2002;818.959
18 Granada;Total;2001;812.637
18 Granada;Total;2000;809.004
18 Granada;Total;1999;813.061
18 Granada;Total;1998;801.177
18 Granada;Total;1997;""
18 Granada;Total;1996;808.053
19 Guadalajara;Total;2021;265.588
19 Guadalajara;Total;2020;261.995
19 Guadalajara;Total;2019;257.762
19 Guadalajara;Total;2018;254.308
19 Guadalajara;Total;2017;253.310
19 Guadalajara;Total;2016;252.882
19 Guadalajara;Total;2015;253.686
19 Guadalajara;Total;2014;255.426
19 Guadalajara;Total;2013;257.723
19 Guadalajara;Total;2012;259.537
19 Guadalajara;Total;2011;256.461
19 Guadalajara;Total;2010;251.563
19 Guadalajara;Total;2009;246.151
19 Guadalajara;Total;2008;237.787
19 Guadalajara;Total;2007;224.076
19 Guadalajara;Total;2006;213.505
19 Guadalajara;Total;2005;203.737
19 Guadalajara;Total;2004;193.913
19 Guadalajara;Total;2003;185.474
19 Guadalajara;Total;2002;177.761
19 Guadalajara;Total;2001;171.532
19 Guadalajara;Total;2000;165.347
19 Guadalajara;Total;1999;161.669
19 Guadalajara;Total;1998;159.331
19 Guadalajara;Total;1997;""
19 Guadalajara;Total;1996;157.255
21 Huelva;Total;2021;525.835
21 Huelva;Total;2020;524.278
21 Huelva;Total;2019;521.870
21 Huelva;Total;2018;519.932
21 Huelva;Total;2017;518.930
21 Huelva;Total;2016;519.596
21 Huelva;Total;2015;520.017
21 Huelva;Total;2014;519.229
21 Huelva;Total;2013;520.668
21 Huelva;Total;2012;522.862
21 Huelva;Total;2011;521.968
21 Huelva;Total;2010;518.081
21 Huelva;Total;2009;513.403
21 Huelva;Total;2008;507.915
21 Huelva;Total;2007;497.671
21 Huelva;Total;2006;492.174
21 Huelva;Total;2005;483.792
21 Huelva;Total;2004;476.707
21 Huelva;Total;2003;472.446
21 Huelva;Total;2002;464.934
21 Huelva;Total;2001;461.730
21 Huelva;Total;2000;458.998
21 Huelva;Total;1999;457.507
21 Huelva;Total;1998;453.958
21 Huelva;Total;1997;""
21 Huelva;Total;1996;454.735
22 Huesca;Total;2021;224.264
22 Huesca;Total;2020;222.687
22 Huesca;Total;2019;220.461
22 Huesca;Total;2018;219.345
22 Huesca;Total;2017;219.702
22 Huesca;Total;2016;221.079
22 Huesca;Total;2015;222.909
22 Huesca;Total;2014;224.909
22 Huesca;Total;2013;226.329
22 Huesca;Total;2012;227.609
22 Huesca;Total;2011;228.361
22 Huesca;Total;2010;228.566
22 Huesca;Total;2009;228.409
22 Huesca;Total;2008;225.271
22 Huesca;Total;2007;220.107
22 Huesca;Total;2006;218.023
22 Huesca;Total;2005;215.864
22 Huesca;Total;2004;212.901
22 Huesca;Total;2003;211.286
22 Huesca;Total;2002;208.963
22 Huesca;Total;2001;205.955
22 Huesca;Total;2000;205.430
22 Huesca;Total;1999;205.429
22 Huesca;Total;1998;204.956
22 Huesca;Total;1997;""
22 Huesca;Total;1996;206.916
23 Jaén;Total;2021;627.190
23 Jaén;Total;2020;631.381
23 Jaén;Total;2019;633.564
23 Jaén;Total;2018;638.099
23 Jaén;Total;2017;643.484
23 Jaén;Total;2016;648.250
23 Jaén;Total;2015;654.170
23 Jaén;Total;2014;659.033
23 Jaén;Total;2013;664.916
23 Jaén;Total;2012;670.242
23 Jaén;Total;2011;670.600
23 Jaén;Total;2010;670.761
23 Jaén;Total;2009;669.782
23 Jaén;Total;2008;667.438
23 Jaén;Total;2007;664.742
23 Jaén;Total;2006;662.751
23 Jaén;Total;2005;660.284
23 Jaén;Total;2004;654.458
